Record ID,Date,Time,First Response Time (seconds),Call Handle Time (minutes),First Call Resolution (FCR) (Yes/No),Quality of Recent Support (Rating),Average Wait Time (seconds),Customer Satisfaction & Recommendations (Rating),Agent ID/Name,Customer Retention (Yes/No),Fully Burdened Cost per call,Revenue per Call ($),Customer ID,Customer Inquiry Topic,Product Discussed,Customer Revenue ($),Second_Time_Resolution,Repeat
2226,11/10/2023,01:52:18,26,19.27,No,1,252,4,Agent 16,No,114.37,163.45,Cust1715,Promotions & Offers,Tablet,8339.44,,No
2227,11/12/2023,18:45:19,111,9.26,Yes,2,121,2,Agent 29,No,185.09,295.48,Cust5009,Return & Refund,Laptop,4269.18,,No
2228,11/14/2023,00:18:24,28,14.85,Yes,2,133,5,Agent 3,No,43.16,418.91,Cust1512,Promotions & Offers,Smartwatch,1046.45,,No
2229,10/21/2023,12:20:08,57,39.46,No,2,89,3,Agent 2,Yes,135.31,465.21,Cust5506,Shipping Status,Camera,5703.88,10/23/2023 15:07:50,No
2230,11/4/2023,07:51:18,6,34.25,Yes,2,289,1,Agent 19,No,111.55,23.04,Cust4575,Technical Support,Router,6118.56,,No
2231,11/17/2023,05:25:26,120,17.92,Yes,1,63,5,Agent 48,Yes,144.83,20.99,Cust9649,Product Feedback,Speaker,7706.25,,No
2232,11/1/2023,14:15:54,24,22.01,Yes,1,233,2,Agent 3,No,170.79,77.51,Cust5848,Technical Support,Smartphone,3449.34,,No
2233,11/14/2023,21:50:14,49,13.92,Yes,3,38,1,Agent 36,No,26.11,323.88,Cust6073,Billing Inquiry,Speaker,9599.14,,No
2234,10/31/2023,17:07:12,53,23.13,Yes,2,179,1,Agent 5,No,132.89,366.49,Cust9587,Shipping Status,Tablet,2063.89,,No
2235,11/17/2023,18:59:25,78,26.63,Yes,3,152,4,Agent 46,No,64.29,297.2,Cust2912,Billing Inquiry,Printer,4995.27,,No
2236,11/19/2023,11:14:46,6,42.73,Yes,3,73,2,Agent 11,Yes,53.6,28.5,Cust6623,Product Feedback,Speaker,2672.26,11/20/2023 22:19:24,Yes
2237,11/18/2023,23:48:49,92,28.69,Yes,5,80,2,Agent 44,Yes,157.82,413.24,Cust2672,Shipping Status,Speaker,6586.36,11/19/2023 01:09:53,Yes
2238,11/11/2023,18:49:17,104,32.64,No,3,126,2,Agent 32,No,165.8,98.94,Cust2283,Billing Inquiry,Camera,5108.62,11/11/2023 23:35:42,Yes
2239,11/5/2023,20:18:47,54,56.3,Yes,5,82,1,Agent 49,Yes,114.85,368.39,Cust482,Billing Inquiry,Speaker,3723.38,,No
2240,11/19/2023,19:52:08,102,44.67,Yes,2,118,2,Agent 36,Yes,44.31,193.03,Cust8217,Warranty Claim,Router,4035.33,,No
2241,10/31/2023,20:29:13,85,31.19,Yes,4,240,1,Agent 22,Yes,112.69,32.87,Cust4967,Return & Refund,Smartwatch,2627.23,,No
2242,11/24/2023,03:02:18,21,52.72,Yes,2,102,2,Agent 48,Yes,74.04,241.03,Cust9679,Account Management,Speaker,2645.17,,No
2243,11/18/2023,21:18:52,64,44.83,No,4,122,5,Agent 47,No,11.47,305.87,Cust811,Account Management,Tablet,4564.19,,No
2244,10/27/2023,10:40:07,89,55.53,No,3,142,3,Agent 14,No,133.78,230.54,Cust4062,Data Security,Smartphone,2448.37,,No
2245,10/31/2023,17:06:40,23,48.69,Yes,2,71,1,Agent 33,No,137.74,50.47,Cust9732,Product Setup,Speaker,5555.12,,No
2246,11/21/2023,11:28:05,120,50.16,No,2,157,3,Agent 6,No,28.3,61.63,Cust8658,Warranty Claim,Router,5823.39,11/27/2023 06:47:50,No
2247,10/26/2023,19:05:50,16,32.17,Yes,5,249,4,Agent 26,Yes,17.98,374.4,Cust7548,Promotions & Offers,Camera,9476.05,,No
2248,10/19/2023,23:46:25,21,13.6,No,4,202,3,Agent 39,No,43.62,213.06,Cust7321,Product Setup,Charger,4576.64,,No
2249,10/19/2023,20:07:17,114,3.83,No,5,95,3,Agent 42,No,160.16,385.33,Cust1946,Warranty Claim,Headphones,9920.43,10/22/2023 16:48:16,No
2250,11/20/2023,07:15:15,120,51.02,No,2,167,3,Agent 6,No,22.36,56.76,Cust3110,Warranty Claim,Router,5589.69,11/20/2023 09:02:25,Yes
2251,10/31/2023,12:38:01,61,15.96,No,5,217,1,Agent 45,No,69.01,206.56,Cust6804,Account Management,Charger,5170.24,11/11/2023 20:36:55,No
2252,10/25/2023,03:24:32,27,31.89,Yes,5,120,3,Agent 3,No,179.1,221.36,Cust67,Account Management,Charger,3609.54,,No
2253,10/27/2023,09:03:26,44,33.48,No,1,12,1,Agent 26,Yes,142.94,56.93,Cust9423,Product Feedback,Smartphone,4001.09,,No
2254,11/9/2023,08:58:25,63,59.77,Yes,5,174,4,Agent 25,Yes,49.61,459.17,Cust6869,Data Security,Smartwatch,5101.29,,No
2255,11/2/2023,10:21:44,70,8.44,Yes,4,125,2,Agent 44,Yes,66.01,19.61,Cust8544,Warranty Claim,Camera,8398.22,,No
2256,10/22/2023,09:38:00,26,29.75,No,2,271,2,Agent 40,Yes,176.26,463.03,Cust9497,Shipping Status,Charger,1880.78,10/28/2023 04:09:10,No
2257,11/5/2023,08:16:43,67,45.27,Yes,1,297,2,Agent 30,No,43.33,443.29,Cust6294,Shipping Status,Camera,6959.68,11/11/2023 04:45:18,No
2258,11/11/2023,19:18:40,74,49.93,No,3,234,1,Agent 2,Yes,109.3,193.22,Cust1334,Return & Refund,Smartphone,3025.06,,No
2259,11/1/2023,11:17:58,44,48.72,No,1,188,1,Agent 36,Yes,170.02,35.85,Cust1472,Product Feedback,Printer,7528.42,11/01/2023 20:34:14,Yes
2260,11/10/2023,08:03:54,73,1.2,Yes,4,112,2,Agent 44,Yes,57.38,30.72,Cust9003,Warranty Claim,Camera,7948.58,,No
2261,11/13/2023,17:47:08,52,10.89,Yes,3,33,1,Agent 36,No,10.62,318.07,Cust4544,Billing Inquiry,Speaker,9259.43,11/14/2023 11:16:47,Yes
2262,11/11/2023,16:21:31,52,4.56,Yes,5,167,4,Agent 17,No,61.63,363.57,Cust2037,Product Feedback,Printer,809.04,,No
2263,10/22/2023,09:32:06,15,25.08,Yes,1,251,2,Agent 3,No,186.83,98.11,Cust1315,Technical Support,Smartphone,3633.71,,No
2264,11/3/2023,03:08:29,50,11.81,Yes,5,132,2,Agent 37,No,199.78,494.47,Cust5327,Account Management,Headphones,9972.6,,No
2265,11/22/2023,00:06:40,108,55.37,Yes,2,65,5,Agent 4,No,158.35,300.01,Cust5591,Product Setup,Charger,9972.6,11/23/2023 06:15:58,Yes
2266,10/23/2023,01:05:15,104,28.38,Yes,3,35,1,Agent 45,No,186.93,255.63,Cust5436,Product Feedback,Camera,4325.11,,No
2267,11/20/2023,15:24:26,21,36.46,No,3,229,3,Agent 3,No,89.3,125.01,Cust3914,Shipping Status,Laptop,8407.28,,No
2268,11/3/2023,12:49:19,98,49.25,Yes,2,99,5,Agent 2,No,127.38,251.38,Cust2172,Warranty Claim,Tablet,2562.67,11/04/2023 20:44:50,Yes
2269,11/9/2023,19:02:39,89,49.69,Yes,2,85,5,Agent 2,No,112.39,242.56,Cust1265,Warranty Claim,Tablet,2253.03,,No
2270,10/29/2023,06:43:02,35,53.25,Yes,3,135,5,Agent 46,No,177.58,76.19,Cust236,Warranty Claim,Camera,4254.13,,No
2271,11/14/2023,17:41:54,38,14.92,No,4,242,2,Agent 30,Yes,25.95,113.23,Cust1902,Promotions & Offers,Smartphone,996.53,11/19/2023 02:18:45,No
2272,10/23/2023,20:39:49,45,29.85,No,1,32,1,Agent 26,Yes,162.57,59.76,Cust1709,Product Feedback,Smartphone,4094.11,10/26/2023 20:42:25,No
2273,11/16/2023,03:52:21,78,18.57,Yes,2,165,5,Agent 7,No,40.82,141.21,Cust1635,Product Setup,Printer,4318.38,,No
2274,10/22/2023,09:54:33,40,56.38,No,2,25,3,Agent 34,Yes,114.12,459.53,Cust3842,Promotions & Offers,Charger,351.95,10/22/2023 23:31:42,Yes
2275,10/23/2023,14:11:42,6,29.1,Yes,2,293,1,Agent 19,No,109.09,38.09,Cust5242,Technical Support,Router,6159.87,10/24/2023 18:31:28,Yes
2276,10/17/2023,01:17:36,43,30.37,Yes,4,121,1,Agent 28,Yes,170.58,58.01,Cust1862,Billing Inquiry,Laptop,3660.15,,No
2277,11/20/2023,04:05:27,115,8.72,No,3,219,1,Agent 13,No,139.41,338.73,Cust5450,Billing Inquiry,Smartwatch,112.07,11/20/2023 17:31:08,Yes
2278,11/19/2023,09:51:58,90,4.39,No,1,65,2,Agent 38,No,100.69,114.98,Cust6601,Promotions & Offers,Tablet,1705.6,11/25/2023 09:07:20,No
2279,11/1/2023,07:37:45,62,47.94,No,2,32,5,Agent 40,Yes,98.5,467.66,Cust4002,Product Setup,Smartwatch,3924.91,,No
2280,10/16/2023,20:05:24,86,38.34,No,1,211,3,Agent 25,No,144.09,389.69,Cust4801,Data Security,Laptop,9025.22,,No
2281,11/22/2023,23:02:36,90,21.7,No,2,87,1,Agent 48,Yes,193.29,385.72,Cust5806,Billing Inquiry,Speaker,4219.11,11/23/2023 03:58:44,Yes
2282,10/23/2023,13:16:17,68,6.72,No,1,243,2,Agent 47,Yes,50.24,246.86,Cust3483,Account Management,Speaker,4965.64,,No
2283,10/22/2023,15:54:30,12,14.37,No,1,254,4,Agent 16,No,118.2,170.46,Cust3422,Promotions & Offers,Tablet,9009.7,,No
2284,10/25/2023,03:24:32,13,52.7,No,4,281,5,Agent 27,No,129.16,63.88,Cust2291,Return & Refund,Tablet,1491.17,,No
2285,10/26/2023,23:33:25,92,25.5,Yes,4,219,1,Agent 22,Yes,124.98,35.48,Cust6358,Return & Refund,Smartwatch,2788.24,,No
2286,11/22/2023,21:21:13,96,46.04,Yes,5,90,2,Agent 31,Yes,46.01,89.06,Cust6515,Billing Inquiry,Headphones,5149.47,11/23/2023 01:52:41,Yes
2287,11/10/2023,18:48:18,37,15.73,No,1,28,5,Agent 42,Yes,106.76,343.45,Cust5556,Product Feedback,Printer,9874.48,11/11/2023 02:10:00,Yes
2288,10/30/2023,07:55:22,120,18.86,Yes,1,83,5,Agent 48,Yes,135.84,26.35,Cust8774,Product Feedback,Speaker,7195.6,11/05/2023 03:08:03,No
2289,11/16/2023,04:58:08,95,36.72,No,2,194,1,Agent 45,Yes,30.06,334.89,Cust2022,Product Feedback,Charger,8415.97,11/19/2023 17:19:07,No
2290,11/16/2023,13:37:42,13,44.19,No,1,150,4,Agent 24,No,32.36,314.05,Cust6402,Warranty Claim,Charger,3952.14,11/18/2023 19:03:50,No
2291,10/26/2023,13:08:07,103,18.19,Yes,4,287,2,Agent 30,Yes,195.9,90.29,Cust2602,Shipping Status,Smartphone,1705.5,,No
2292,10/23/2023,16:07:33,10,26.53,Yes,4,87,5,Agent 24,No,120.26,246.41,Cust4023,Product Feedback,Tablet,1376.42,,No
2293,10/22/2023,19:15:08,93,47.21,No,3,132,3,Agent 14,No,145.77,257.73,Cust2775,Data Security,Smartphone,2517.79,,No
2294,10/30/2023,22:34:47,102,45.97,No,3,285,1,Agent 9,Yes,171.9,170.68,Cust275,Product Feedback,Speaker,9548.39,10/31/2023 17:13:24,Yes
2295,10/17/2023,20:07:02,116,45.71,No,2,242,1,Agent 45,Yes,80.86,54.33,Cust4990,Product Feedback,Speaker,1841.62,10/18/2023 19:25:13,Yes
2296,11/3/2023,07:35:13,59,7.7,No,4,151,4,Agent 19,No,102.83,349.53,Cust7774,Technical Support,Tablet,8520.23,11/05/2023 13:06:45,No
2297,10/24/2023,17:48:03,54,25.2,Yes,2,190,1,Agent 5,No,129.85,345.96,Cust9658,Shipping Status,Tablet,2321.6,,No
2298,11/16/2023,08:17:08,119,41.56,No,2,222,4,Agent 47,Yes,159.47,281.33,Cust5162,Shipping Status,Tablet,979.4,11/16/2023 10:32:14,Yes
2299,10/29/2023,21:01:34,47,20.02,Yes,3,27,1,Agent 36,No,14.95,317.16,Cust7062,Billing Inquiry,Speaker,9335.34,,No
2300,11/11/2023,16:47:27,69,2.57,No,3,14,4,Agent 49,No,189.16,101.48,Cust644,Promotions & Offers,Headphones,3035.64,11/11/2023 22:58:00,Yes
2301,11/12/2023,22:52:16,113,51.14,No,2,202,3,Agent 19,No,97.34,282.72,Cust272,Warranty Claim,Printer,1500.62,,No
2302,11/17/2023,11:12:40,95,31.34,Yes,3,161,3,Agent 35,Yes,43.3,13.01,Cust7155,Account Management,Router,3316.61,,No
2303,11/4/2023,16:24:23,94,42.7,No,3,299,1,Agent 9,Yes,175.22,181.98,Cust4830,Product Feedback,Speaker,9203.09,11/05/2023 04:04:35,Yes
2304,11/1/2023,16:11:39,20,48.06,No,1,41,5,Agent 24,Yes,159.11,497.98,Cust2264,Technical Support,Printer,3944.24,,No
2305,10/26/2023,23:29:54,111,21.58,Yes,3,76,2,Agent 1,No,79.09,343.07,Cust4709,Product Feedback,Smartwatch,3728.33,,No
2306,10/17/2023,02:18:14,114,48.25,No,1,178,2,Agent 30,No,121.05,133.55,Cust2941,Billing Inquiry,Laptop,1367.84,10/17/2023 03:04:20,Yes
2307,10/22/2023,23:56:44,13,52.19,Yes,1,278,1,Agent 10,Yes,193.51,411.27,Cust2391,Promotions & Offers,Smartphone,5129.79,,No
2308,10/25/2023,13:49:24,70,43.57,Yes,1,286,2,Agent 30,No,45.49,471.12,Cust6406,Shipping Status,Camera,6491.4,10/30/2023 13:27:03,No
2309,11/11/2023,23:47:44,42,29.62,Yes,2,210,2,Agent 32,Yes,115.17,127.25,Cust6554,Promotions & Offers,Tablet,6490.12,,No
2310,11/17/2023,06:56:24,67,10.23,Yes,4,103,2,Agent 44,Yes,55.53,49.17,Cust1857,Warranty Claim,Camera,7885.0,,No
2311,11/4/2023,00:39:18,35,47.79,Yes,5,136,3,Agent 18,Yes,199.78,444.81,Cust8733,Product Setup,Router,112.07,11/06/2023 07:11:31,No
2312,11/18/2023,12:24:30,55,11.65,Yes,5,248,4,Agent 50,Yes,59.35,91.16,Cust3167,Product Setup,Charger,8768.92,,No
2313,10/31/2023,15:13:56,112,43.89,No,2,217,1,Agent 45,Yes,91.89,86.94,Cust6187,Product Feedback,Speaker,1406.78,11/04/2023 19:26:52,No
2314,11/11/2023,19:57:41,60,5.63,Yes,5,161,4,Agent 17,No,55.54,375.69,Cust6863,Product Feedback,Printer,764.69,,No
2315,11/7/2023,22:54:13,59,7.62,No,4,156,4,Agent 19,No,98.94,362.26,Cust4972,Technical Support,Tablet,8359.13,,No
2316,10/22/2023,16:59:23,5,4.66,No,2,176,5,Agent 25,Yes,177.08,448.06,Cust3102,Technical Support,Smartphone,4907.91,,No
2317,11/4/2023,03:49:48,26,25.97,No,2,273,2,Agent 40,Yes,180.3,444.74,Cust9120,Shipping Status,Charger,2099.09,,No
2318,11/24/2023,08:11:30,117,19.71,No,1,233,4,Agent 49,No,160.06,106.06,Cust903,Product Setup,Router,2092.4,11/25/2023 04:01:02,Yes
2319,10/22/2023,16:47:11,44,50.87,No,4,17,1,Agent 15,No,136.36,260.94,Cust3493,Promotions & Offers,Tablet,6035.25,,No
2320,11/1/2023,21:50:02,84,32.05,No,3,185,2,Agent 48,Yes,13.19,206.0,Cust985,Product Setup,Speaker,8149.86,11/01/2023 23:00:32,Yes
2321,10/29/2023,23:34:33,86,39.32,No,3,192,2,Agent 48,Yes,10.24,230.6,Cust5851,Product Setup,Speaker,7469.98,11/02/2023 17:57:51,No
2322,11/15/2023,12:01:28,84,37.94,No,3,184,2,Agent 48,Yes,15.26,232.62,Cust5325,Product Setup,Speaker,7550.11,11/16/2023 07:52:24,Yes
2323,10/18/2023,05:59:27,34,17.54,No,1,291,4,Agent 43,No,177.26,431.97,Cust4492,Data Security,Laptop,5232.67,10/18/2023 10:23:38,Yes
2324,11/3/2023,19:10:43,59,10.53,Yes,5,230,4,Agent 50,Yes,48.65,88.14,Cust9822,Product Setup,Charger,9078.2,,No
2325,10/27/2023,06:29:52,63,14.95,Yes,5,225,4,Agent 50,Yes,73.54,83.58,Cust7644,Product Setup,Charger,8505.26,,No
2326,10/28/2023,14:22:22,110,38.1,No,2,166,1,Agent 4,Yes,70.4,365.76,Cust5147,Account Management,Printer,2490.69,10/28/2023 22:59:52,Yes
2327,11/1/2023,23:16:43,98,6.4,No,2,121,4,Agent 31,No,105.96,378.08,Cust7591,Promotions & Offers,Tablet,8279.39,11/05/2023 01:52:01,No
2328,10/28/2023,08:30:50,56,52.34,No,2,43,5,Agent 40,Yes,109.31,490.22,Cust9615,Product Setup,Smartwatch,4148.78,,No
2329,11/8/2023,09:01:39,22,42.36,Yes,3,76,3,Agent 22,No,64.22,96.21,Cust6455,Promotions & Offers,Tablet,3447.89,,No
2330,10/28/2023,04:13:51,48,19.11,Yes,2,79,3,Agent 47,No,32.52,105.92,Cust8918,Shipping Status,Headphones,4233.5,10/29/2023 03:01:06,Yes
2331,11/22/2023,07:58:21,87,33.27,No,5,77,1,Agent 25,No,192.0,113.93,Cust4960,Account Management,Tablet,784.41,11/22/2023 10:31:07,Yes
2332,11/3/2023,13:45:02,70,26.05,No,2,194,1,Agent 8,No,44.16,99.87,Cust8631,Billing Inquiry,Smartwatch,8148.51,,No
2333,10/22/2023,21:39:57,19,28.3,No,3,102,3,Agent 21,No,191.29,111.86,Cust2992,Data Security,Laptop,4705.72,10/26/2023 12:17:15,No
2334,10/28/2023,06:05:31,105,47.38,Yes,4,275,1,Agent 9,No,198.87,436.24,Cust4399,Return & Refund,Smartphone,3554.61,,No
2335,11/17/2023,12:57:10,84,45.7,No,1,299,2,Agent 39,Yes,135.36,102.74,Cust7192,Promotions & Offers,Camera,7706.73,,No
2336,10/21/2023,01:26:44,58,59.22,Yes,5,183,4,Agent 25,Yes,51.7,440.12,Cust5561,Data Security,Smartwatch,4603.35,,No
2337,10/31/2023,20:53:14,15,16.88,No,4,79,4,Agent 23,No,35.67,31.2,Cust3460,Data Security,Speaker,9309.24,,No
2338,11/23/2023,14:04:59,67,4.97,No,3,28,4,Agent 49,No,185.8,108.11,Cust6247,Promotions & Offers,Headphones,2666.8,,No
2339,10/16/2023,18:12:33,55,44.19,No,3,185,3,Agent 13,Yes,176.94,71.0,Cust1329,Return & Refund,Camera,959.52,10/29/2023 08:00:40,No
2340,11/24/2023,11:37:06,52,54.82,Yes,3,53,4,Agent 3,Yes,152.46,257.77,Cust84,Account Management,Camera,531.67,,No
2341,10/31/2023,01:06:49,116,7.96,Yes,2,117,2,Agent 29,No,170.74,282.91,Cust5330,Return & Refund,Laptop,4365.02,10/31/2023 07:38:55,Yes
2342,10/25/2023,03:18:02,5,37.3,Yes,2,292,1,Agent 19,No,127.71,33.04,Cust430,Technical Support,Router,6167.12,10/26/2023 13:18:54,Yes
2343,11/18/2023,15:58:57,86,47.65,Yes,3,166,5,Agent 20,No,181.13,28.95,Cust198,Product Setup,Headphones,7717.94,,No
2344,11/4/2023,10:40:36,20,10.71,No,4,292,3,Agent 34,No,105.82,362.87,Cust9439,Shipping Status,Camera,6826.44,11/04/2023 11:16:11,Yes
2345,10/20/2023,22:17:42,34,49.16,No,4,277,5,Agent 27,No,128.83,47.74,Cust3717,Return & Refund,Tablet,1619.59,10/21/2023 12:03:44,Yes
2346,11/12/2023,07:55:05,103,36.34,No,2,172,1,Agent 45,Yes,22.25,334.92,Cust4326,Product Feedback,Charger,8190.93,,No
2347,11/16/2023,18:30:44,111,33.45,Yes,4,182,4,Agent 39,No,62.42,28.05,Cust3805,Promotions & Offers,Charger,6688.3,,No
2348,11/3/2023,17:07:30,21,43.02,Yes,3,50,3,Agent 22,No,58.92,68.86,Cust8221,Promotions & Offers,Tablet,3249.55,,No
2349,11/14/2023,05:36:49,120,47.43,No,2,206,3,Agent 19,No,85.72,280.0,Cust4090,Warranty Claim,Printer,1024.05,11/30/2023 20:47:34,No
2350,10/20/2023,23:44:00,68,41.42,Yes,5,87,2,Agent 39,No,93.38,346.77,Cust1206,Technical Support,Smartphone,7073.95,,No
2351,10/17/2023,23:36:17,22,51.91,No,4,272,5,Agent 27,No,141.15,75.61,Cust7505,Return & Refund,Tablet,1619.29,10/21/2023 09:26:23,No
2352,10/25/2023,10:51:41,89,31.87,No,5,73,1,Agent 25,No,187.78,113.51,Cust2535,Account Management,Tablet,784.76,,No
2353,11/24/2023,20:48:42,40,26.81,Yes,4,270,2,Agent 39,No,110.16,156.98,Cust3141,Product Setup,Headphones,6948.78,11/29/2023 04:20:24,No
2354,10/23/2023,17:09:42,58,11.77,Yes,5,223,4,Agent 50,Yes,50.15,83.76,Cust516,Product Setup,Charger,9124.12,,No
2355,11/22/2023,10:14:14,85,42.65,No,1,287,2,Agent 39,Yes,126.92,95.74,Cust8661,Promotions & Offers,Camera,7779.8,,No
2356,10/28/2023,13:43:27,58,14.75,Yes,5,116,2,Agent 37,No,199.78,491.02,Cust7501,Account Management,Headphones,9752.54,,No
2357,11/5/2023,08:06:38,77,21.03,Yes,3,208,4,Agent 27,No,92.26,400.53,Cust700,Product Feedback,Smartwatch,2597.63,,No
2358,11/13/2023,19:46:09,66,45.8,No,4,124,5,Agent 47,No,20.2,283.72,Cust2545,Account Management,Tablet,4135.75,,No
2359,10/23/2023,11:51:22,120,50.28,No,2,164,3,Agent 6,No,28.55,72.23,Cust9302,Warranty Claim,Router,5854.45,10/23/2023 14:01:34,Yes
2360,10/24/2023,16:22:19,18,31.69,Yes,5,228,4,Agent 26,Yes,16.13,397.0,Cust7781,Promotions & Offers,Camera,9858.92,,No
2361,10/26/2023,19:33:09,5,11.65,Yes,3,184,4,Agent 16,No,135.37,194.56,Cust3547,Data Security,Laptop,8162.78,,No
2362,11/4/2023,18:09:05,82,35.41,No,1,193,3,Agent 25,No,128.17,372.15,Cust7663,Data Security,Laptop,9078.98,11/05/2023 17:13:12,Yes
2363,10/30/2023,12:37:58,112,12.39,Yes,2,115,2,Agent 29,No,174.77,312.23,Cust3473,Return & Refund,Laptop,4080.41,10/31/2023 04:19:45,Yes
2364,10/20/2023,03:25:43,5,9.32,Yes,3,181,4,Agent 16,No,133.98,195.95,Cust1012,Data Security,Laptop,7839.17,,No
2365,10/27/2023,09:07:54,19,43.83,Yes,3,69,3,Agent 22,No,58.25,75.37,Cust5201,Promotions & Offers,Tablet,3552.17,,No
2366,11/18/2023,17:50:39,76,43.57,No,3,258,3,Agent 14,Yes,175.71,138.83,Cust2812,Product Setup,Speaker,3655.59,11/22/2023 06:27:31,No
2367,11/6/2023,07:58:56,33,40.81,Yes,1,281,1,Agent 36,No,95.14,410.47,Cust9685,Return & Refund,Smartphone,2743.99,11/08/2023 12:08:10,No
2368,11/23/2023,12:47:41,83,21.44,Yes,3,212,4,Agent 27,No,82.35,394.17,Cust5270,Product Feedback,Smartwatch,2773.36,,No
2369,10/27/2023,18:50:04,103,52.05,Yes,4,97,5,Agent 31,Yes,90.28,258.55,Cust2656,Billing Inquiry,Camera,9972.6,,No
2370,10/27/2023,04:07:18,74,47.4,No,1,230,5,Agent 2,No,159.93,143.29,Cust7936,Shipping Status,Headphones,5510.37,,No
2371,11/2/2023,16:55:58,79,54.46,Yes,1,244,3,Agent 44,No,199.78,104.97,Cust8508,Account Management,Smartphone,6155.49,,No
2372,10/19/2023,21:10:04,39,55.92,No,1,177,4,Agent 42,No,153.42,110.3,Cust7849,Warranty Claim,Smartphone,8693.38,,No
2373,10/29/2023,08:05:05,62,56.46,Yes,1,206,4,Agent 12,Yes,79.77,400.12,Cust9660,Data Security,Headphones,9871.45,11/05/2023 02:55:12,No
2374,10/31/2023,02:26:27,24,52.18,No,4,288,5,Agent 27,No,137.22,58.93,Cust5304,Return & Refund,Tablet,2167.47,,No
2375,11/10/2023,12:40:16,59,11.21,Yes,5,227,4,Agent 50,Yes,49.11,108.24,Cust3554,Product Setup,Charger,9173.89,,No
2376,10/22/2023,09:06:40,21,37.27,No,3,122,3,Agent 21,No,184.09,116.0,Cust6840,Data Security,Laptop,4866.38,10/23/2023 00:45:03,Yes
2377,11/21/2023,04:29:18,78,53.74,Yes,3,161,5,Agent 20,No,180.0,23.41,Cust1049,Product Setup,Headphones,7517.07,,No
2378,11/20/2023,16:34:36,21,1.2,Yes,5,201,3,Agent 6,No,125.59,172.72,Cust9239,Data Security,Charger,6367.72,,No
2379,11/6/2023,20:38:12,90,6.35,No,1,185,2,Agent 12,Yes,79.89,230.36,Cust8001,Technical Support,Headphones,8403.38,11/08/2023 06:22:44,Yes
2380,11/2/2023,12:17:13,120,53.51,No,2,152,3,Agent 6,No,30.93,65.39,Cust4041,Warranty Claim,Router,5495.84,,No
2381,11/13/2023,14:20:41,56,1.2,Yes,3,103,2,Agent 36,No,47.88,428.22,Cust3465,Warranty Claim,Camera,9181.26,,No
2382,10/24/2023,20:26:10,119,50.05,No,2,204,3,Agent 19,No,89.37,289.8,Cust1291,Warranty Claim,Printer,1268.38,10/26/2023 17:26:24,Yes
2383,11/8/2023,05:25:46,65,59.77,Yes,5,195,4,Agent 25,Yes,54.0,440.46,Cust4493,Data Security,Smartwatch,5262.07,,No
2384,10/28/2023,04:10:38,120,54.31,Yes,2,77,5,Agent 4,No,145.23,338.99,Cust1339,Product Setup,Charger,9972.6,11/01/2023 15:44:11,No
2385,11/22/2023,13:13:56,117,24.97,No,1,249,4,Agent 49,No,172.89,98.99,Cust1407,Product Setup,Router,2139.08,,No
2386,11/4/2023,21:24:00,28,40.84,No,4,234,1,Agent 14,Yes,182.09,40.42,Cust3688,Product Setup,Printer,9859.95,11/06/2023 21:18:00,Yes
2387,11/5/2023,21:55:07,37,31.78,Yes,5,140,1,Agent 42,No,189.63,363.53,Cust6789,Product Setup,Smartwatch,3935.78,,No
2388,11/16/2023,03:39:35,33,10.71,No,3,187,3,Agent 43,No,173.37,279.07,Cust1144,Product Setup,Speaker,7783.19,,No
2389,11/17/2023,00:31:16,87,10.86,No,5,154,2,Agent 22,No,51.09,369.98,Cust1629,Account Management,Headphones,6378.21,,No
2390,10/26/2023,02:31:32,5,56.85,No,2,241,4,Agent 17,No,141.84,21.99,Cust8668,Shipping Status,Laptop,2393.25,10/26/2023 09:51:49,Yes
2391,11/10/2023,01:09:59,36,1.2,Yes,5,235,3,Agent 16,Yes,95.32,116.36,Cust8882,Billing Inquiry,Speaker,1329.03,,No
2392,11/20/2023,06:43:43,89,38.78,No,5,67,1,Agent 25,No,192.0,93.42,Cust5320,Account Management,Tablet,515.88,,No
2393,11/2/2023,04:52:23,90,26.48,Yes,2,90,3,Agent 48,Yes,95.68,349.99,Cust2238,Return & Refund,Smartphone,6163.02,,No
2394,10/21/2023,03:32:15,14,24.7,Yes,1,74,5,Agent 31,No,77.55,294.54,Cust7566,Shipping Status,Charger,1817.6,,No
2395,11/20/2023,09:09:49,22,13.67,No,1,251,4,Agent 16,No,117.75,171.3,Cust1468,Promotions & Offers,Tablet,8445.32,,No
2396,11/21/2023,11:23:59,93,56.3,Yes,4,100,5,Agent 31,Yes,88.07,240.45,Cust9774,Billing Inquiry,Camera,9611.22,,No
2397,10/22/2023,19:44:28,36,26.41,Yes,5,124,3,Agent 3,No,183.43,248.6,Cust598,Account Management,Charger,3839.14,,No
2398,10/25/2023,06:58:08,69,1.2,No,3,17,4,Agent 49,No,184.3,90.92,Cust3975,Promotions & Offers,Headphones,2684.47,,No
2399,10/26/2023,06:12:18,17,42.89,No,1,159,4,Agent 24,No,46.98,384.3,Cust3560,Warranty Claim,Charger,3938.5,,No
2400,11/19/2023,01:03:18,120,20.8,Yes,1,81,5,Agent 48,Yes,142.47,11.57,Cust7891,Product Feedback,Speaker,7873.52,,No
2401,11/23/2023,20:47:44,22,19.11,No,4,198,3,Agent 39,No,32.74,268.84,Cust9774,Product Setup,Charger,4403.83,,No
